Timestamp,Age,Hand,Status,Movement,Thumb,Index,Middle,Ring,Pinky,AngleThumb,AngleIndex,AngleMiddle,AngleRing,AnglePinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,AbductionAngle,RotationAngle,MovementMagnitude
16,11,L,Healthy,STEADY,731.0,1106.0,682.0,717.0,890.0,13.5,21.3,11.2,10.8,13.0,-0.169,-0.113,0.001,0.566,0.591,0.026,-89.7,56.3,-33.7,-0.0,-0.0,0.0
43,11,L,Healthy,STEADY,731.0,1106.0,683.0,717.0,891.0,13.5,21.3,11.7,10.8,13.5,-0.303,-0.203,0.003,1.016,0.586,0.105,-89.2,56.2,-33.8,-0.0,-0.0,0.0
69,11,L,Healthy,STEADY,731.0,1105.0,683.0,717.0,889.0,13.5,20.7,11.7,10.8,12.5,-0.409,-0.273,0.002,1.338,0.736,0.273,-89.5,56.3,-33.7,-0.0,-0.0,0.0
95,11,L,Healthy,STEADY,731.0,1106.0,683.0,718.0,887.0,13.5,21.3,11.7,11.2,11.7,-0.494,-0.329,0.004,1.684,0.801,0.293,-89.4,56.4,-33.6,-0.0,-0.0,0.0
121,11,L,Healthy,STEADY,730.0,1106.0,683.0,717.0,886.0,13.0,21.3,11.7,10.8,11.2,-0.562,-0.374,0.005,1.88,1.1,0.32,-89.3,56.3,-33.7,-0.0,-0.0,0.0
147,11,L,Healthy,STEADY,731.0,1105.0,682.0,717.0,888.0,13.5,20.7,11.2,10.8,12.1,-0.616,-0.41,0.005,2.034,1.178,0.363,-89.2,56.4,-33.6,-0.0,-0.0,0.0
173,11,L,Healthy,STEADY,732.0,1106.0,683.0,716.0,886.0,13.9,21.3,11.7,10.4,11.2,-0.66,-0.44,0.004,2.068,1.496,0.322,-89.5,56.3,-33.7,-0.0,-0.0,0.0
199,11,L,Healthy,STEADY,732.0,1105.0,684.0,716.0,890.0,13.9,20.7,12.1,10.4,13.0,-0.696,-0.463,0.003,2.142,1.48,0.157,-89.6,56.4,-33.6,-0.0,-0.0,0.0
225,11,L,Healthy,STEADY,733.0,1108.0,684.0,719.0,888.0,14.4,22.5,12.1,11.7,12.1,-0.725,-0.484,0.007,2.252,1.025,0.257,-89.2,56.3,-33.7,-0.0,-0.0,0.0
251,11,L,Healthy,STEADY,731.0,1106.0,684.0,716.0,889.0,13.5,21.3,12.1,10.4,12.5,-0.749,-0.5,0.003,2.075,1.73,0.777,-89.6,56.3,-33.7,-0.0,-0.0,0.0
